method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,execution_time,embedding,metric,db_inverted,silhouette_norm,calinski_harabasz_norm,db_inverted_norm,score
BIRCH,2,0.6651510654270119,14.305627211273993,0.23510483698870682,1.0414612293243408,SUPERTYPES + QUANTITY,coseno,-0.23510483698870682,1.0,0.005989283326903393,1.0,0.6686630944423011
K-Means,2,0.6651510654270119,14.305627211273993,0.23510483698870682,0.9075605869293213,SUPERTYPES + QUANTITY,coseno,-0.23510483698870682,1.0,0.005989283326903393,1.0,0.6686630944423011
Agglomerative,2,0.6651510654270119,14.305627211273993,0.23510483698870682,1.0607573986053467,SUPERTYPES + QUANTITY,coseno,-0.23510483698870682,1.0,0.005989283326903393,1.0,0.6686630944423011
K-Means,2,0.6650609054329913,14.286293905414222,0.23513585284496197,1.513730764389038,QUANTITY,coseno,-0.23513585284496197,0.9999074029486201,0.00597862555664729,0.999986926164744,0.6686243182233372
BIRCH,2,0.6650609054329913,14.286293905414222,0.23513585284496197,1.0201139450073242,QUANTITY,coseno,-0.23513585284496197,0.9999074029486201,0.00597862555664729,0.999986926164744,0.6686243182233372
Agglomerative,2,0.6650609054329913,14.286293905414222,0.23513585284496197,0.7534196376800537,QUANTITY,coseno,-0.23513585284496197,0.9999074029486201,0.00597862555664729,0.999986926164744,0.6686243182233372
K-Means,2,0.6647416632472642,14.263814610861624,0.23540124298859058,1.2980103492736816,RESISTANCE + QUANTITY,coseno,-0.23540124298859058,0.9995795315307534,0.0059662335136827505,0.9998750586416352,0.6684736078953571
BIRCH,2,0.6647416632472642,14.263814610861624,0.23540124298859058,1.1021809577941895,RESISTANCE + QUANTITY,coseno,-0.23540124298859058,0.9995795315307534,0.0059662335136827505,0.9998750586416352,0.6684736078953571
Agglomerative,2,0.6647416632472642,14.263814610861624,0.23540124298859058,0.7441713809967041,RESISTANCE + QUANTITY,coseno,-0.23540124298859058,0.9995795315307534,0.0059662335136827505,0.9998750586416352,0.6684736078953571
BIRCH,2,0.6644244802311491,14.246372278108808,0.23570073695061428,1.067096471786499,ATTACKS_DMG + QUANTITY,coseno,-0.23570073695061428,0.9992537749426005,0.0059566181702666605,0.9997488156423301,0.6683197362517324
Agglomerative,2,0.6644244802311491,14.246372278108808,0.23570073695061428,0.766596794128418,ATTACKS_DMG + QUANTITY,coseno,-0.23570073695061428,0.9992537749426005,0.0059566181702666605,0.9997488156423301,0.6683197362517324
K-Means,2,0.6644244802311491,14.246372278108808,0.23570073695061428,0.9319305419921875,ATTACKS_DMG + QUANTITY,coseno,-0.23570073695061428,0.9992537749426005,0.0059566181702666605,0.9997488156423301,0.6683197362517324
K-Means,2,0.6643639112650059,14.238727137039303,0.23572337569467575,1.081925630569458,ATTACKS_COSTS + QUANTITY,coseno,-0.23572337569467575,0.9991915687753208,0.005952403673393478,0.9997392729359212,0.6682944151282119
BIRCH,2,0.6643639112650059,14.238727137039303,0.23572337569467575,0.9548051357269287,ATTACKS_COSTS + QUANTITY,coseno,-0.23572337569467575,0.9991915687753208,0.005952403673393478,0.9997392729359212,0.6682944151282119
Agglomerative,2,0.6643639112650059,14.238727137039303,0.23572337569467575,0.8768775463104248,ATTACKS_COSTS + QUANTITY,coseno,-0.23572337569467575,0.9991915687753208,0.005952403673393478,0.9997392729359212,0.6682944151282119
K-Means,2,0.6640930385942562,14.22033845951211,0.23594621183811948,0.7251038551330566,WEAKNESS + QUANTITY,coseno,-0.23594621183811948,0.9989133743179752,0.00594226664345044,0.999645342818226,0.6681669945932173
Agglomerative,2,0.6640930385942562,14.22033845951211,0.23594621183811948,0.7241034507751465,WEAKNESS + QUANTITY,coseno,-0.23594621183811948,0.9989133743179752,0.00594226664345044,0.999645342818226,0.6681669945932173
BIRCH,2,0.6640930385942562,14.22033845951211,0.23594621183811948,1.0408899784088135,WEAKNESS + QUANTITY,coseno,-0.23594621183811948,0.9989133743179752,0.00594226664345044,0.999645342818226,0.6681669945932173
Agglomerative,2,0.663720392936815,14.191718332688879,0.23625804165964565,0.7465782165527344,PKMN_TYPES + QUANTITY,coseno,-0.23625804165964565,0.9985306559131726,0.005926489376044909,0.9995138999948842,0.667990348428034
K-Means,2,0.663720392936815,14.191718332688879,0.23625804165964565,0.7954964637756348,PKMN_TYPES + QUANTITY,coseno,-0.23625804165964565,0.9985306559131726,0.005926489376044909,0.9995138999948842,0.667990348428034
BIRCH,2,0.663720392936815,14.191718332688879,0.23625804165964565,1.005286455154419,PKMN_TYPES + QUANTITY,coseno,-0.23625804165964565,0.9985306559131726,0.005926489376044909,0.9995138999948842,0.667990348428034
Agglomerative,2,0.6623153658139068,14.10330183602489,0.23752427762507028,0.8294124603271484,KEYWORDS + QUANTITY,coseno,-0.23752427762507028,0.9970876503972192,0.005877748477042472,0.9989801549236214,0.6673151845992944
K-Means,2,0.6623153658139068,14.10330183602489,0.23752427762507028,1.119910717010498,KEYWORDS + QUANTITY,coseno,-0.23752427762507028,0.9970876503972192,0.005877748477042472,0.9989801549236214,0.6673151845992944
BIRCH,2,0.6623153658139068,14.10330183602489,0.23752427762507028,1.041194200515747,KEYWORDS + QUANTITY,coseno,-0.23752427762507028,0.9970876503972192,0.005877748477042472,0.9989801549236214,0.6673151845992944
K-Means,4,0.6428716754977556,1817.4513839258107,0.4689369142591431,0.011609554290771484,RESISTANCE,coseno,-0.4689369142591431,0.977118390075308,1.0,0.9014348651008384,0.959517751725382
Agglomerative,4,0.6420362559037296,1801.250227565775,0.4917070880614969,0.016063928604125977,RESISTANCE,coseno,-0.4917070880614969,0.9762603887864645,0.991068873392845,0.8918367582940007,0.95305534015777
BIRCH,4,0.6330302696675981,1759.0989037845056,0.5063427053475895,0.01945328712463379,RESISTANCE,coseno,-0.5063427053475895,0.9670109674739131,0.9678323339148152,0.8856675380185983,0.9401702798024422
BIRCH,3,0.515749811709999,827.3589927642732,0.41755632142306354,0.022809982299804688,ATTACKS_DMG,coseno,-0.41755632142306354,0.8465603761742346,0.4541969534929469,0.9230928648209964,0.741283398162726
Agglomerative,3,0.5154858608529672,829.647305837608,0.4190993988707945,0.017568588256835938,ATTACKS_DMG,coseno,-0.4190993988707945,0.8462892906297439,0.4554584198550132,0.922442425246705,0.7413967119104873
DBSCAN,3,0.47706460052807265,45.00717347139843,2.495047685301684,0.0056667327880859375,SUPERTYPES,coseno,-2.495047685301684,0.8068294896944035,0.022913963923220766,0.047386593368269114,0.2923766823286311
K-Means,3,0.46272673118824004,1050.8399654336433,0.5621711529449701,0.014701128005981445,ATTACKS_DMG,coseno,-0.5621711529449701,0.7921040625428081,0.5773941387336127,0.8621346740382537,0.7438776251048914
K-Means,3,0.45037877162621853,542.6422492558299,0.8926696299943516,0.014556407928466797,ATTACKS_COSTS,coseno,-0.8926696299943516,0.7794223331524972,0.29724264560642,0.7228226200437764,0.5998291996008979
K-Means,10,0.42654996323827504,290.13605402412554,0.929868913000319,0.024172306060791016,PKMN_TYPES,coseno,-0.929868913000319,0.7549494234258638,0.15804487795396327,0.7071423404583765,0.5400455472794011
Agglomerative,3,0.42089036243019123,489.972901027175,0.9310244459015506,0.0203702449798584,ATTACKS_COSTS,coseno,-0.9310244459015506,0.7491368415539522,0.26820788988325384,0.706655259055261,0.574666663497489
DBSCAN,9,0.4107831584591799,307.72095402678684,1.8098245752286555,0.013060808181762695,ATTACKS_COSTS,coseno,-1.8098245752286555,0.7387564361914927,0.16773881367112856,0.3362225352491578,0.41423926170392633
BIRCH,3,0.41003711325863706,238.17273053730196,1.0064611888227228,0.02393817901611328,ATTACKS_COSTS,coseno,-1.0064611888227228,0.737990225118424,0.1293993287921654,0.6748570864983823,0.5140822134696572
DBSCAN,4,0.40897981628453556,256.2989091853965,0.934071481632607,0.015271663665771484,RESISTANCE,coseno,-0.934071481632607,0.7369043490233977,0.13939165235305515,0.7053708694566228,0.5272222902776919
Agglomerative,2,0.4033985326391041,286.8123827872736,1.2662126721713713,0.02318882942199707,ATTACKS_DMG + RESISTANCE,coseno,-1.2662126721713713,0.7311722012554679,0.15621265512015936,0.5653663772022978,0.4842504111926417
BIRCH,2,0.4000669171093566,293.0765305460337,1.2611945274202234,0.03495049476623535,ATTACKS_DMG + RESISTANCE,coseno,-1.2611945274202234,0.7277505309488397,0.15966585904438163,0.5674816306786991,0.48496600689064007
Agglomerative,10,0.3947738769177701,264.65470088361917,1.009484940442497,0.017081260681152344,PKMN_TYPES,coseno,-1.009484940442497,0.7223144179599217,0.14399790587603994,0.6735825116419998,0.5132982784926537
K-Means,2,0.36285175505289774,506.26854688678117,1.1544615309678936,0.01247096061706543,ATTACKS_DMG + ATTACKS_COSTS,coseno,-1.1544615309678936,0.6895294295558485,0.27719110522191404,0.6124718318363813,0.526397455538048
Agglomerative,2,0.3549214063739457,424.3168638210989,1.027099384046647,0.010262012481689453,SUPERTYPES,coseno,-1.027099384046647,0.681384720674018,0.23201403015000585,0.6661576534690608,0.5265188014310281
Agglomerative,3,0.35390124109437393,335.31848924548507,0.6160959703461514,0.013929128646850586,ATTACKS_DMG + SUPERTYPES,coseno,-0.6160959703461514,0.6803369799567005,0.18295236235902432,0.8394042301932334,0.5675645241696528
BIRCH,2,0.3480906777761692,473.8772157045267,1.1977682750673584,0.038140058517456055,ATTACKS_DMG + ATTACKS_COSTS,coseno,-1.1977682750673584,0.674369355003232,0.2593349057424364,0.5942171290426731,0.5093071299294473
BIRCH,10,0.33971102435348854,170.84906427017637,0.994071445421748,0.03204035758972168,PKMN_TYPES,coseno,-0.994071445421748,0.665763196507388,0.09228616392124568,0.68007962373082,0.4793763280531513
