method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,execution_time,embedding,metric,db_inverted,silhouette_norm,calinski_harabasz_norm,db_inverted_norm,score
K-Means,4,0.6428716754977556,1817.4513839258107,0.4689369142591431,0.011649608612060547,RESISTANCE,weighted_jaccard,-0.4689369142591431,0.9799724123411258,0.9999999999999999,0.9452792945027318,2.9252517068438575
K-Means,4,0.6428716754977556,1817.4513839258107,0.4689369142591431,0.012563228607177734,RESISTANCE,jaccard,-0.4689369142591431,0.9799724123411258,0.9999999999999999,0.9452792945027318,2.9252517068438575
Agglomerative,4,0.6420362559037296,1801.250227565775,0.4917070880614969,0.03552412986755371,RESISTANCE,jaccard,-0.4917070880614969,0.9791119049539351,0.9910680163914004,0.9398949732621832,2.9100748946075186
Agglomerative,4,0.6420362559037296,1801.250227565775,0.4917070880614969,0.026214122772216797,RESISTANCE,weighted_jaccard,-0.4917070880614969,0.9791119049539351,0.9910680163914004,0.9398949732621832,2.9100748946075186
BIRCH,4,0.6330302696675981,1759.0989037845056,0.5063427053475895,0.044891357421875,RESISTANCE,weighted_jaccard,-0.5063427053475895,0.9698354674121937,0.9678292472117019,0.9364341799583612,2.8740988945822568
BIRCH,4,0.6330302696675981,1759.0989037845056,0.5063427053475895,0.06725811958312988,RESISTANCE,jaccard,-0.5063427053475895,0.9698354674121937,0.9678292472117019,0.9364341799583612,2.8740988945822568
K-Means,3,0.46272673118824004,1050.8399654336433,0.5621711529449701,0.015531063079833984,ATTACKS_DMG,jaccard,-0.5621711529449701,0.7944176845709101,0.5773535868693845,0.9232327745218176,2.295004045962112
K-Means,3,0.46272673118824004,1050.8399654336433,0.5621711529449701,0.01055908203125,ATTACKS_DMG,weighted_jaccard,-0.5621711529449701,0.7944176845709101,0.5773535868693845,0.9232327745218176,2.295004045962112
Agglomerative,3,0.5154858608529672,829.647305837608,0.4190993988707945,0.013730764389038086,ATTACKS_DMG,weighted_jaccard,-0.4190993988707945,0.848761179914925,0.45540616744147955,0.9570640614970847,2.2612314088534893
Agglomerative,3,0.5154858608529672,829.647305837608,0.4190993988707945,0.047072410583496094,ATTACKS_DMG,jaccard,-0.4190993988707945,0.848761179914925,0.45540616744147955,0.9570640614970847,2.2612314088534893
BIRCH,3,0.515749811709999,827.3589927642732,0.41755632142306354,0.04784417152404785,ATTACKS_DMG,weighted_jaccard,-0.41755632142306354,0.8490330572612972,0.4541445800332629,0.9574289434145328,2.260606580709093
BIRCH,3,0.515749811709999,827.3589927642732,0.41755632142306354,0.03290891647338867,ATTACKS_DMG,jaccard,-0.41755632142306354,0.8490330572612972,0.4541445800332629,0.9574289434145328,2.260606580709093
K-Means,8,0.507192258124662,742.6155950812305,0.6471458469291421,0.014866352081298828,ATTACKS_COSTS,weighted_jaccard,-0.6471458469291421,0.8402185188794816,0.40742404834892393,0.9031393376557009,2.1507819048841066
K-Means,8,0.507192258124662,742.6155950812305,0.6471458469291421,0.02087259292602539,ATTACKS_COSTS,jaccard,-0.6471458469291421,0.8402185188794816,0.40742404834892393,0.9031393376557009,2.1507819048841066
Agglomerative,8,0.49907357571860234,730.9714837642439,0.6538962723133932,0.03822135925292969,ATTACKS_COSTS,jaccard,-0.6538962723133932,0.8318560310534513,0.4010044441485356,0.9015431065906836,2.1344035817926708
Agglomerative,8,0.49907357571860234,730.9714837642439,0.6538962723133932,0.014604330062866211,ATTACKS_COSTS,weighted_jaccard,-0.6538962723133932,0.8318560310534513,0.4010044441485356,0.9015431065906836,2.1344035817926708
BIRCH,8,0.5081932698834709,677.9051833286132,0.6844715262475498,0.02854156494140625,ATTACKS_COSTS,weighted_jaccard,-0.6844715262475498,0.8412495911924601,0.3717480555842423,0.8943131666428457,2.107310813419548
BIRCH,8,0.5081932698834709,677.9051833286132,0.6844715262475498,0.06378674507141113,ATTACKS_COSTS,jaccard,-0.6844715262475498,0.8412495911924601,0.3717480555842423,0.8943131666428457,2.107310813419548
BIRCH,2,0.6623153658139068,14.10330183602489,0.23752427762507028,0.7617487907409668,KEYWORDS + QUANTITY,jaccard,-0.23752427762507028,0.9999999999999999,0.005782355785495031,0.9999999999999999,2.005782355785495
K-Means,2,0.6623153658139068,14.10330183602489,0.23752427762507028,0.9233334064483643,KEYWORDS + QUANTITY,weighted_jaccard,-0.23752427762507028,0.9999999999999999,0.005782355785495031,0.9999999999999999,2.005782355785495
BIRCH,2,0.6623153658139068,14.10330183602489,0.23752427762507028,0.7558863162994385,KEYWORDS + QUANTITY,weighted_jaccard,-0.23752427762507028,0.9999999999999999,0.005782355785495031,0.9999999999999999,2.005782355785495
Agglomerative,2,0.6623153658139068,14.10330183602489,0.23752427762507028,0.7107360363006592,KEYWORDS + QUANTITY,weighted_jaccard,-0.23752427762507028,0.9999999999999999,0.005782355785495031,0.9999999999999999,2.005782355785495
K-Means,2,0.6623153658139068,14.10330183602489,0.23752427762507028,1.2702445983886719,KEYWORDS + QUANTITY,jaccard,-0.23752427762507028,0.9999999999999999,0.005782355785495031,0.9999999999999999,2.005782355785495
Agglomerative,2,0.6623153658139068,14.10330183602489,0.23752427762507028,0.6556859016418457,KEYWORDS + QUANTITY,jaccard,-0.23752427762507028,0.9999999999999999,0.005782355785495031,0.9999999999999999,2.005782355785495
K-Means,10,0.39467737185752816,719.9764847684057,0.7367795627686532,0.014060020446777344,SUPERTYPES,jaccard,-0.7367795627686532,0.7243247913512538,0.39494270703391526,0.8819442108967609,2.00121170928193
K-Means,10,0.39467737185752816,719.9764847684057,0.7367795627686532,0.013981342315673828,SUPERTYPES,weighted_jaccard,-0.7367795627686532,0.7243247913512538,0.39494270703391526,0.8819442108967609,2.00121170928193
K-Means,8,0.3992290054927947,651.7295814611625,0.7452861267114764,0.01656174659729004,ATTACKS_DMG + RESISTANCE,weighted_jaccard,-0.7452861267114764,0.7290131113223685,0.35731698402184275,0.8799327166798527,1.966262812024064
K-Means,8,0.3992290054927947,651.7295814611625,0.7452861267114764,0.026974916458129883,ATTACKS_DMG + RESISTANCE,jaccard,-0.7452861267114764,0.7290131113223685,0.35731698402184275,0.8799327166798527,1.966262812024064
K-Means,10,0.4059480963352021,563.1847491962399,0.8898073828467389,0.01782083511352539,ATTACKS_DMG + ATTACKS_COSTS,weighted_jaccard,-0.8898073828467389,0.7359339776109285,0.30850065432037754,0.8457586749762523,1.8901933069075585
K-Means,10,0.4059480963352021,563.1847491962399,0.8898073828467389,0.0232236385345459,ATTACKS_DMG + ATTACKS_COSTS,jaccard,-0.8898073828467389,0.7359339776109285,0.30850065432037754,0.8457586749762523,1.8901933069075585
Agglomerative,10,0.3426235926949166,620.032037542909,0.7700494529816206,0.016908645629882812,SUPERTYPES,jaccard,-0.7700494529816206,0.670707828305463,0.33984156829108053,0.8740770870838594,1.884626483680403
Agglomerative,10,0.3426235926949166,620.032037542909,0.7700494529816206,0.01933574676513672,SUPERTYPES,weighted_jaccard,-0.7700494529816206,0.670707828305463,0.33984156829108053,0.8740770870838594,1.884626483680403
Agglomerative,8,0.3599950997205197,580.7933271248762,0.8189575517710915,0.02906179428100586,ATTACKS_DMG + RESISTANCE,weighted_jaccard,-0.8189575517710915,0.6886010046554802,0.3182085742943678,0.8625120934464469,1.8693216723962949
Agglomerative,8,0.3599950997205197,580.7933271248762,0.8189575517710915,0.06188631057739258,ATTACKS_DMG + RESISTANCE,jaccard,-0.8189575517710915,0.6886010046554802,0.3182085742943678,0.8625120934464469,1.8693216723962949
BIRCH,10,0.4055232360366035,511.2581023327137,0.8794826611907771,0.039284467697143555,ATTACKS_DMG + ATTACKS_COSTS,weighted_jaccard,-0.8794826611907771,0.735496358684963,0.2798725768963081,0.8482000976284237,1.863569033209695
BIRCH,10,0.4055232360366035,511.2581023327137,0.8794826611907771,0.03608894348144531,ATTACKS_DMG + ATTACKS_COSTS,jaccard,-0.8794826611907771,0.735496358684963,0.2798725768963081,0.8482000976284237,1.863569033209695
Agglomerative,10,0.37565139859779684,506.95937039241977,0.9245867601255316,0.023286104202270508,ATTACKS_DMG + ATTACKS_COSTS,weighted_jaccard,-0.9245867601255316,0.7047274648633831,0.27750261006337373,0.837534612154391,1.8197646870811477
Agglomerative,10,0.37565139859779684,506.95937039241977,0.9245867601255316,0.022920846939086914,ATTACKS_DMG + ATTACKS_COSTS,jaccard,-0.9245867601255316,0.7047274648633831,0.27750261006337373,0.837534612154391,1.8197646870811477
K-Means,8,0.39997949180508935,385.8751125351119,0.8612409597002959,0.013120412826538086,ATTACKS_COSTS + RESISTANCE,weighted_jaccard,-0.8612409597002959,0.7297861348668641,0.2107467203968326,0.8525135992139405,1.7930464544776372
K-Means,8,0.39997949180508935,385.8751125351119,0.8612409597002959,0.01211404800415039,ATTACKS_COSTS + RESISTANCE,jaccard,-0.8612409597002959,0.7297861348668641,0.2107467203968326,0.8525135992139405,1.7930464544776372
K-Means,10,0.3776449446715745,430.2994216004126,0.9101379430165609,0.029895544052124023,RESISTANCE + SUPERTYPES,jaccard,-0.9101379430165609,0.7067808774664126,0.23523862650382082,0.8409512339832762,1.7829707379535096
K-Means,10,0.3776449446715745,430.2994216004126,0.9101379430165609,0.024466753005981445,RESISTANCE + SUPERTYPES,weighted_jaccard,-0.9101379430165609,0.7067808774664126,0.23523862650382082,0.8409512339832762,1.7829707379535096
